Video Title,Video ID,Published Date,Video Age (Days),Views,Likes,Comments,(Likes + Comments) / Views,Daily Views,Daily Likes
Can You Solve The Riddle Of The Goddesses?,CWD3vGKOXSI,2016-07-04T19:00:00Z,3104,3041996,51015,5606,0.0186,980.02,16.44
Can You Solve This Insane Riddle?,lC0zZwT_RsA,2016-05-16T22:30:01Z,3153,8110049,117003,9964,0.0157,2572.17,37.11
Americans Try To Pronounce Massachusetts Towns,AckzNzbF5E4,2015-03-19T21:13:32Z,3577,3017801,34373,7592,0.0139,843.67,9.61
People Play With Rats For The First Time,pakeDnCPe8s,2015-11-18T21:10:15Z,3333,3947826,69889,7649,0.0196,1184.47,20.97
People Taste Test Puerto Rican Food,I1Cqv840gVE,2015-07-31T02:00:00Z,3444,3692618,47694,6869,0.0148,1072.19,13.85
Professional Chefs Play Never Have I Ever,84aHy4HoEo8,2019-10-21T18:28:01Z,1900,220540,4981,223,0.0236,116.07,2.62
Law Students Answer Questions About Law School,pIuCqUnvHdk,2019-09-21T21:00:05Z,1930,1274132,27385,1157,0.0224,660.17,14.19
If Yogurt Were Advertised Like Beer,NBgzat7YDQ4,2014-12-17T23:02:38Z,3669,985869,18329,476,0.0191,268.7,5.0
Can You Solve The Riddle Of The Missing Ruby?,9kU6TGpA1B0,2016-07-26T21:00:00Z,3082,2775240,43036,4246,0.017,900.47,13.96
Things Olivia Pope Does That’d Be Weird If You Did Them,cOh6JObjfM8,2014-11-30T19:30:04Z,3686,852011,13408,482,0.0163,231.15,3.64
Orthodox Jews Answer Commonly Googled Questions,DMXTMkh0lNU,2021-09-08T18:00:04Z,1212,372360,7859,1602,0.0254,307.23,6.48
People Try Durian (The Smelliest Fruit In The World),og5e6wLIU18,2015-09-14T00:00:01Z,3399,4869500,43947,9950,0.0111,1432.63,12.93
How To Be A Man,Q3FVqbJTEbA,2014-09-24T01:40:27Z,3754,882139,22288,1409,0.0269,234.99,5.94
Jewish Moms Try Each Other’s Brisket,yv7GhFo4TZY,2019-12-12T16:00:12Z,1848,3925961,76367,8155,0.0215,2124.44,41.32
Fans Try Harry Potter Lipsticks,VMEuQrCxAjQ,2015-09-26T17:00:01Z,3386,3134814,61497,2003,0.0203,925.82,18.16
Americans Try To Pronounce Danish Words,9Dhm48Ypj-A,2015-05-06T19:54:50Z,3529,1990752,22961,7028,0.0151,564.11,6.51
Reasons Korea Might Be The Best Country On Earth,ohStNqpYfRI,2015-07-18T22:30:01Z,3456,951902,39961,4900,0.0471,275.43,11.56
What's The Best Way To Study?,c8h5OiNaovE,2015-07-23T16:00:08Z,3451,1359938,18324,735,0.014,394.07,5.31
If McDonald’s Advertised Like Apple,Sn276Zk5B40,2015-10-14T00:00:01Z,3369,6236705,187980,10929,0.0319,1851.2,55.8
Parents Reveal The Wackiest Things Their Kids Have Said,YG3J8bpaskA,2016-02-16T19:30:00Z,3243,1843021,32750,1026,0.0183,568.31,10.1
New Yorkers Try LA Pizza,VzpNswi7aFU,2017-05-14T18:00:42Z,2790,1118874,16380,932,0.0155,401.03,5.87
Why Tea Is Obviously Better Than Coffee,_ICuEK0s2Ck,2013-06-26T17:02:42Z,4208,667978,18451,2969,0.0321,158.74,4.38
$15 Spaghetti Vs. $143 Spaghetti,3nPEkZv0-OU,2018-05-13T15:00:10Z,2426,13293380,163222,10133,0.013,5479.55,67.28
$29 Vs. $180 Family-Style Meats,uFmQmqNAmfo,2018-09-09T15:00:44Z,2307,12605076,167163,8691,0.014,5463.84,72.46
If Mondays Were Honest // Presented By BuzzFeed & Moe's,upjRFRFTuos,2017-04-16T23:01:41Z,2818,775335,6082,283,0.0082,275.14,2.16
Couples Get Refreshingly Honest About How They Met // Presented by BuzzFeed & Honest Tea,utarrEKU2Tg,2016-08-22T19:47:32Z,3055,925930,11489,517,0.013,303.09,3.76
5 Things You Didn't Know About Plastic,E98-aHrkeaA,2015-04-22T18:50:36Z,3543,523741,16865,750,0.0336,147.82,4.76
Black Moms Try Other Black Moms' Soul Food,1p8r-2ffK_c,2019-06-20T21:00:00Z,2023,20588999,425455,39179,0.0226,10177.46,210.31
Teens Teach Their Parents How to Dance // Presented by BuzzFeed & Just Dance 2016,85XuOGc1yzw,2015-11-24T17:59:03Z,3327,1711394,26184,1248,0.016,514.4,7.87
The Try Guys Imitate Each Other,y0EVX9cRlQE,2015-09-12T15:00:02Z,3400,12415907,220913,3866,0.0181,3651.74,64.97
$2 Curry Vs. $75 Curry,-JmA5_gHrrM,2018-09-16T15:00:00Z,2300,12459546,153221,12821,0.0133,5417.19,66.62
What Are Your Creative Habits?,WfVsn4ZtjdA,2014-06-03T18:10:41Z,3866,794337,12494,547,0.0164,205.47,3.23
Gymnasts Share Their Performance Horror Stories,J8Ef2SKK4WI,2020-01-21T22:00:02Z,1808,227323,5025,232,0.0231,125.73,2.78
$8 Toast Vs. $20 Toast,x3zQELlrY6A,2018-05-06T15:00:19Z,2433,12058481,163380,11274,0.0145,4956.22,67.15
People Try Flower Coffee,5sW-aIQhb1U,2017-04-06T22:00:53Z,2828,972492,30624,901,0.0324,343.88,10.83
$7 BBQ Ribs Vs. $68 BBQ Ribs,AAeRZX6ann8,2017-09-03T15:00:19Z,2678,27914805,294324,13454,0.011,10423.75,109.9
American & British People Swap Snacks,1KDITAnnP5E,2019-07-08T15:00:00Z,2005,11558924,146600,16040,0.0141,5765.05,73.12
Stages Of Every Game Night,WqwvQGXrAbc,2014-11-06T19:02:15Z,3710,818791,7820,259,0.0099,220.7,2.11
"Homemade Vs. Real ""Impossible Burger""",iXhmCyny0YQ,2019-03-15T18:00:04Z,2120,439829,8536,482,0.0205,207.47,4.03
Black Grandmas Try Other Black Grandmas' Sweet Potato Pie,caN8V3jtyNA,2019-08-02T18:00:09Z,1980,14137124,312711,37806,0.0248,7139.96,157.93
$18 Oil Vs. $60 Oil,RI2szJL0jY0,2020-11-15T16:00:06Z,1509,2321628,49945,2140,0.0224,1538.52,33.1
The Try Guys Bake Bread Without A Recipe,V4Uuxg6jmbo,2017-11-11T16:00:37Z,2609,29143195,438693,26814,0.016,11170.25,168.15
Do You Know How To Pronounce These Words?,mRc8QgXG-8k,2015-08-10T01:00:00Z,3434,7676807,79163,8564,0.0114,2235.53,23.05
Ex-Mob Boss Plays Never Have I Ever,mWtfpM0CnX8,2020-03-01T16:00:12Z,1768,21932524,671119,26729,0.0318,12405.27,379.59
McDonald's Oreo Frappe Taste Test,ueQF3o86PYc,2015-07-15T18:30:01Z,3459,1744327,21500,1486,0.0132,504.29,6.22
A Person With A Terminal Illness Gives Life Advice,O2bGjVc3CT4,2016-04-09T19:00:01Z,3190,694690,44519,2261,0.0673,217.77,13.96
If Baristas Were Honest,Go1AFS65c8I,2017-11-24T01:00:31Z,2597,1873628,31605,1116,0.0175,721.46,12.17
